StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,UserLanguage,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,Question 11,Question 12,Question 13,Question 14,Question 15,Question 16,Question 17,Question 18,Question 19,Question 20,Question 21,Question 22,Question 23,Question 24,Question 25,Question 26,Question 27,Question 28,Question 29,Question 30,Question 31,Question 32,Question 33,Question 34,Question 35,Question 36,Question 37,Question 38,Question 39,Question 40
2023-01-11 12:38:36,2023-01-11 12:44:09,100,333,True,2023-01-11 12:44:10,EN,french_toast,fried_rice,fried_rice,ice_cream,gnocchi,grilled_salmon,lobster_bisque,guacamole,hot_and_sour_soup,hot_and_sour_soup,ice_cream,nachos,hot_and_sour_soup,panna_cotta,peking_duck,poutine,ramen,pulled_pork_sandwich,french_fries,chocolate_cake,apple_pie,chicken_curry,chicken_quesadilla,spring_rolls,bruschetta,breakfast_burrito,chocolate_cake,cheese_plate,chicken_wings,breakfast_burrito,chocolate_mousse,chicken_wings,carrot_cake,club_sandwich,cup_cakes,baklava,falafel,ice_cream,fish_and_chips,pork_chop
2023-01-12 16:50:05,2023-01-12 17:13:18,100,1392,True,2023-01-12 17:13:19,EN,french_toast,fried_rice,croque_madame,ice_cream,macaroni_and_cheese,grilled_salmon,french_onion_soup,tacos,hot_and_sour_soup,hot_and_sour_soup,ice_cream,tacos,hot_and_sour_soup,panna_cotta,steak,french_fries,ramen,club_sandwich,poutine,chocolate_cake,bread_pudding,shrimp_and_grits,breakfast_burrito,spring_rolls,pizza,breakfast_burrito,carrot_cake,cheese_plate,chicken_wings,breakfast_burrito,chocolate_mousse,chicken_wings,carrot_cake,club_sandwich,cup_cakes,baklava,crab_cakes,bread_pudding,fish_and_chips,filet_mignon
2023-01-15 08:26:17,2023-01-15 08:49:06,100,1368,True,2023-01-15 08:49:06,EN,french_toast,fried_rice,fried_rice,ice_cream,gnocchi,grilled_salmon,lobster_bisque,guacamole,miso_soup,miso_soup,ice_cream,nachos,hot_and_sour_soup,panna_cotta,pork_chop,french_fries,ramen,pulled_pork_sandwich,french_fries,chocolate_cake,bread_pudding,shrimp_and_grits,chicken_quesadilla,spring_rolls,bruschetta,chicken_quesadilla,carrot_cake,cheese_plate,chicken_wings,breakfast_burrito,chocolate_mousse,chicken_wings,apple_pie,club_sandwich,cup_cakes,baklava,crab_cakes,bread_pudding,fish_and_chips,prime_rib
2023-01-15 10:26:30,2023-01-15 10:34:09,100,459,True,2023-01-15 10:34:09,EN,pancakes,fried_rice,fried_rice,frozen_yogurt,macaroni_and_cheese,grilled_salmon,french_onion_soup,guacamole,miso_soup,hot_and_sour_soup,ice_cream,nachos,dumplings,panna_cotta,peking_duck,french_fries,ramen,club_sandwich,french_fries,chocolate_cake,bread_pudding,shrimp_and_grits,breakfast_burrito,spring_rolls,takoyaki,breakfast_burrito,carrot_cake,cheese_plate,samosa,tacos,chocolate_mousse,chicken_wings,tiramisu,pulled_pork_sandwich,cup_cakes,baklava,falafel,apple_pie,fish_and_chips,foie_gras
2023-01-15 17:22:45,2023-01-15 17:45:17,100,1352,True,2023-01-15 17:45:18,EN,french_toast,risotto,fried_rice,frozen_yogurt,gnocchi,grilled_salmon,clam_chowder,guacamole,hot_and_sour_soup,ramen,ice_cream,tacos,hot_and_sour_soup,panna_cotta,pork_chop,french_fries,ramen,pulled_pork_sandwich,poutine,red_velvet_cake,bread_pudding,shrimp_and_grits,breakfast_burrito,spring_rolls,bruschetta,breakfast_burrito,carrot_cake,cheese_plate,chicken_wings,breakfast_burrito,chocolate_mousse,chicken_wings,apple_pie,club_sandwich,cup_cakes,baklava,falafel,bread_pudding,fish_and_chips,filet_mignon
2023-01-15 18:53:05,2023-01-15 19:10:48,100,1063,True,2023-01-15 19:10:48,EN,french_toast,risotto,fried_rice,ice_cream,gnocchi,grilled_salmon,lobster_bisque,guacamole,miso_soup,hot_and_sour_soup,ice_cream,tacos,ravioli,panna_cotta,steak,poutine,lobster_bisque,pulled_pork_sandwich,french_fries,tiramisu,bread_pudding,shrimp_and_grits,breakfast_burrito,spring_rolls,bruschetta,tacos,chocolate_cake,cheese_plate,spring_rolls,tacos,chocolate_mousse,chicken_wings,tiramisu,club_sandwich,frozen_yogurt,samosa,falafel,apple_pie,fish_and_chips,filet_mignon
2023-01-17 12:35:26,2023-01-17 12:41:03,100,336,True,2023-01-17 12:41:04,EN,grilled_cheese_sandwich,fried_rice,fried_rice,ice_cream,risotto,filet_mignon,french_onion_soup,guacamole,hot_and_sour_soup,hot_and_sour_soup,ice_cream,nachos,hot_and_sour_soup,creme_brulee,peking_duck,french_fries,ramen,grilled_cheese_sandwich,poutine,chocolate_cake,bread_pudding,shrimp_and_grits,crab_cakes,spring_rolls,bruschetta,chicken_quesadilla,carrot_cake,cheese_plate,chicken_wings,breakfast_burrito,chocolate_mousse,takoyaki,apple_pie,lobster_roll_sandwich,red_velvet_cake,baklava,beignets,ice_cream,fish_and_chips,grilled_salmon
2023-01-17 13:13:20,2023-01-17 13:23:42,100,622,True,2023-01-17 13:23:43,EN,pancakes,fried_rice,bibimbap,frozen_yogurt,macaroni_and_cheese,grilled_salmon,french_onion_soup,tacos,hot_and_sour_soup,hot_and_sour_soup,ice_cream,tacos,dumplings,panna_cotta,steak,french_fries,miso_soup,pulled_pork_sandwich,french_fries,chocolate_cake,bread_pudding,chicken_curry,breakfast_burrito,spring_rolls,pizza,breakfast_burrito,carrot_cake,cheese_plate,samosa,breakfast_burrito,chocolate_mousse,chicken_wings,apple_pie,club_sandwich,cup_cakes,baklava,crab_cakes,apple_pie,fish_and_chips,foie_gras
2023-01-17 16:14:39,2023-01-17 18:15:32,100,7253,True,2023-01-17 18:15:33,EN,french_toast,fried_rice,fried_rice,frozen_yogurt,gnocchi,grilled_salmon,french_onion_soup,guacamole,hot_and_sour_soup,hot_and_sour_soup,ice_cream,nachos,hot_and_sour_soup,panna_cotta,steak,poutine,ramen,pulled_pork_sandwich,french_fries,red_velvet_cake,beignets,shrimp_and_grits,breakfast_burrito,spring_rolls,bruschetta,breakfast_burrito,carrot_cake,cheese_plate,chicken_wings,breakfast_burrito,chocolate_mousse,chicken_wings,apple_pie,club_sandwich,cup_cakes,baklava,falafel,ice_cream,fish_and_chips,grilled_salmon
2023-01-17 18:26:09,2023-01-17 18:37:46,100,697,True,2023-01-17 18:37:47,EN,french_toast,fried_rice,fried_rice,frozen_yogurt,macaroni_and_cheese,grilled_salmon,french_onion_soup,guacamole,gnocchi,hot_and_sour_soup,ice_cream,nachos,hot_and_sour_soup,panna_cotta,prime_rib,poutine,chicken_curry,club_sandwich,poutine,red_velvet_cake,apple_pie,shrimp_and_grits,breakfast_burrito,spring_rolls,bruschetta,breakfast_burrito,carrot_cake,cheese_plate,chicken_wings,tacos,chocolate_mousse,chicken_wings,apple_pie,club_sandwich,cup_cakes,baklava,falafel,apple_pie,fish_and_chips,filet_mignon
